Time,Execution Time
Thu Nov 26 14:50:36 2020,0.10277605056762695
Thu Nov 26 14:50:37 2020,0.10735392570495605
Thu Nov 26 14:50:38 2020,0.10355997085571289
Thu Nov 26 14:50:39 2020,0.1048431396484375
Thu Nov 26 14:50:40 2020,0.1017000675201416
Thu Nov 26 14:50:41 2020,0.10895109176635742
Thu Nov 26 14:50:42 2020,0.10367417335510254
Thu Nov 26 14:50:43 2020,0.1110222339630127
Thu Nov 26 14:50:44 2020,0.11202001571655273
Thu Nov 26 14:50:46 2020,0.10683608055114746
Thu Nov 26 14:50:47 2020,0.10203289985656738
Thu Nov 26 14:50:48 2020,0.09953093528747559
Thu Nov 26 14:50:49 2020,0.1151878833770752
Thu Nov 26 14:50:50 2020,0.10660886764526367
Thu Nov 26 14:50:51 2020,0.1027982234954834
Thu Nov 26 14:50:52 2020,0.11079287528991699
Thu Nov 26 14:50:53 2020,0.10875892639160156
Thu Nov 26 14:50:54 2020,0.10863900184631348
Thu Nov 26 14:50:56 2020,0.10569095611572266
Thu Nov 26 14:50:57 2020,0.10713005065917969
Thu Nov 26 14:50:58 2020,0.1080169677734375
Thu Nov 26 14:50:59 2020,0.1033179759979248
Thu Nov 26 14:51:00 2020,0.11913704872131348
Thu Nov 26 14:51:01 2020,0.10663795471191406
Thu Nov 26 14:51:02 2020,0.10680103302001953
Thu Nov 26 14:51:03 2020,0.10063481330871582
Thu Nov 26 14:51:04 2020,0.10658407211303711
Thu Nov 26 14:51:06 2020,0.10865402221679688
Thu Nov 26 14:51:07 2020,0.10927009582519531
Thu Nov 26 14:51:08 2020,0.10524582862854004
Thu Nov 26 14:51:09 2020,0.10107898712158203
Thu Nov 26 14:51:10 2020,0.10457205772399902
Thu Nov 26 14:51:11 2020,0.11261677742004395
Thu Nov 26 14:51:12 2020,0.10957074165344238
Thu Nov 26 14:51:13 2020,0.10300779342651367
Thu Nov 26 14:51:14 2020,0.10831403732299805
Thu Nov 26 14:51:16 2020,0.1094970703125
Thu Nov 26 14:51:17 2020,0.1068122386932373
Thu Nov 26 14:51:18 2020,0.10387420654296875
Thu Nov 26 14:51:19 2020,0.10731196403503418
Thu Nov 26 14:51:20 2020,0.10151505470275879
Thu Nov 26 14:51:21 2020,0.11991596221923828
Thu Nov 26 14:51:22 2020,0.1116950511932373
Thu Nov 26 14:51:23 2020,0.11287808418273926
Thu Nov 26 14:51:24 2020,0.10943007469177246
Thu Nov 26 14:51:26 2020,0.11125016212463379
Thu Nov 26 14:51:27 2020,0.10144519805908203
Thu Nov 26 14:51:28 2020,0.11233282089233398
Thu Nov 26 14:51:29 2020,0.10505294799804688
Thu Nov 26 14:51:30 2020,0.10536003112792969
Thu Nov 26 14:51:31 2020,0.09875297546386719
Thu Nov 26 14:51:32 2020,0.11003994941711426
Thu Nov 26 14:51:33 2020,0.09893202781677246
